id,name,work_shape,route,rationale,next_step,risk_level,data_readiness
AI-001,Invoice Exception Intelligence Layer,Exception handling and operational coordination,Prototype,"The opportunity has enough clarity for a bounded proof, but value still needs evidence.","Design a small proof with baseline, success measure, stop condition, and human review.",moderate,partial
AI-002,Executive Meeting Summary Bot,Research and synthesis,Automate With Existing Tools,Existing capabilities may solve enough of the need without a new AI project.,Test current-tool configuration and adoption before building custom functionality.,low,available
AI-003,Customer Churn Predictor,Unclear or bundled work,Wait,High risk and weak data make a proof unreliable without control and evidence work first.,Create data readiness and control requirements before authorizing a prototype.,high,weak
AI-004,Policy Q&A Assistant,Employee or customer interaction with escalation,Buy,The workflow is common enough that vendor or platform capability should be tested before custom build.,Run a controlled comparison of approved knowledge-base or HR-service capabilities with citation and escalation requirements.,moderate,available
AI-005,Sales Deck Generator,Research and synthesis,Automate With Existing Tools,Existing capabilities may solve enough of the need without a new AI project.,Test current-tool configuration and adoption before building custom functionality.,moderate,partial
AI-006,AI Strategy Dashboard,Unclear or bundled work,Process-First,The stated pain appears to be governance design rather than an AI capability gap.,"Define the operating rhythm, ownership, and data model before building AI support.",low,unknown
AI-007,Contract Redline Agent,Structured judgment support,Prototype,"The opportunity may be valuable, but it needs a constrained proof with strong human review.","Run a limited offline test using approved examples, eval cases, logs, and expert review.",high,partial
AI-008,Product Feedback Synthesizer,Research and synthesis,Prototype,"The workflow, data, and strategic fit are strong enough for a cheap bounded proof.",Run a timeboxed prototype against historical examples and compare against human baseline.,moderate,available
AI-009,Field Service Scheduling Agent,Exception handling and operational coordination,Build,The workflow appears operationally differentiated and depends on orchestration logic tied to local constraints.,"Prototype the scheduling intelligence layer first, then decide whether custom build is justified.",high,partial
AI-010,AI Vendor Intake Screener,Employee or customer interaction with escalation,Build,The opportunity directly supports the organization's AI governance intelligence layer and may become reusable operating infrastructure.,Build a constrained internal workflow package after testing with synthetic and historical intake records.,moderate,available
